job_id,agency,posting_type,nr_positions,title,level,job_category,salary,residency_requirement,posting_date
86699,AGENCY_[DEPT OF CITYWIDE ADMIN SVCS],POSTING_TYPE_External,MULTIPLE_POSITIONS,TITLE_ARTIST,LEVEL_1,,SALARY_0-50K_YEAR,RESIDENCY_REQUIREMENT_NO,POSTED_IN_2011
87990,AGENCY_[DEPARTMENT OF BUSINESS SERV.],POSTING_TYPE_Internal,SINGLE_POSITION,TITLE_REVIEWER,LEVEL_1,,SALARY_50K-70K_YEAR,RESIDENCY_REQUIREMENT_YES,POSTED_IN_2011
97899,AGENCY_[DEPARTMENT OF BUSINESS SERV.],POSTING_TYPE_Internal,SINGLE_POSITION,TITLE_PROMOT,LEVEL_3,,SALARY_90+K_YEAR,RESIDENCY_REQUIREMENT_YES,POSTED_IN_2012
311202,AGENCY_[DEPARTMENT OF BUSINESS SERV.],POSTING_TYPE_Internal,SINGLE_POSITION,TITLE_DEVELOPER,LEVEL_1,,SALARY_70K-90K_YEAR,RESIDENCY_REQUIREMENT_NO,POSTED_IN_2017
102221,AGENCY_[DEPT OF ENVIRONMENT PROTECTION],POSTING_TYPE_External,SINGLE_POSITION,TITLE_INTE,LEVEL_0,,SALARY_0-50K_YEAR,RESIDENCY_REQUIREMENT_NO,POSTED_IN_2012
114352,AGENCY_[DEPT OF ENVIRONMENT PROTECTION],POSTING_TYPE_Internal,MULTIPLE_POSITIONS,TITLE_ENGINEER,LEVEL_0,,SALARY_90+K_YEAR,RESIDENCY_REQUIREMENT_YES,POSTED_IN_2012
117261,AGENCY_[DEPT OF ENVIRONMENT PROTECTION],POSTING_TYPE_External,SINGLE_POSITION,TITLE_INTERN,LEVEL_0,,SALARY_0-50K_YEAR,RESIDENCY_REQUIREMENT_NO,POSTED_IN_2013
133921,AGENCY_[NYC HOUSING AUTHORITY],POSTING_TYPE_Internal,MULTIPLE_POSITIONS,TITLE_PAINTER,LEVEL_0,,SALARY_50K-70K_YEAR,RESIDENCY_REQUIREMENT_NO,POSTED_IN_2014
120749,AGENCY_[DEPT OF ENVIRONMENT PROTECTION],POSTING_TYPE_Internal,SINGLE_POSITION,TITLE_MANAGER,LEVEL_2,,SALARY_90+K_YEAR,RESIDENCY_REQUIREMENT_NO,POSTED_IN_2013
121583,AGENCY_[LAW DEPARTMENT],POSTING_TYPE_External,SINGLE_POSITION,TITLE_AIDE,LEVEL_2,,,RESIDENCY_REQUIREMENT_YES,POSTED_IN_2013
124287,AGENCY_[LAW DEPARTMENT],POSTING_TYPE_Internal,SINGLE_POSITION,TITLE_SPECIALIST,LEVEL_0,JOB_CATEGORY_[Legal],SALARY_0-50K_YEAR,RESIDENCY_REQUIREMENT_YES,POSTED_IN_2013
